age,churn,contract,country,customer_id,dependents,deviceprotection,discount_offered,gender,internetservice,last_activity,monthlycharges,multiplelines,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,product_category,purchase_amount,region,satisfaction_score,seniorcitizen,streamingmovies,streamingtv,support_tickets_raised,techsupport,tenure,totalcharges,transaction_date,transaction_id,user_name
22.000000307039972,2.217786217266461e-06,,,SUBS_2932,,,10.670001553976116,Male,,242.99999758629377,48.60999996184476,,,,,,Credit Card,,,,South,6.999998623313235,,,,1.9999980291750388,,24.000001888566857,,,,
57.999999247961775,1.000000501973803,,,SUBS_198,,,6.78000030698948,Male,,300.00000181008517,29.04000023650371,,,,,,Credit Card,,,,North,1.9999997331181578,,,,1.000000925464073,,3.9999994831761536,,,,
31.999999599013563,7.639354063958114e-07,,,SUBS_1931,,,17.530000152541874,Female,,65.00000106884136,45.799999218575174,,,,,,PayPal,,,,North,4.000000879198189,,,,3.0000006144993643,,37.999999209660636,,,,
35.99999948985513,6.981096423104542e-07,,,SUBS_3583,,,8.770001056821647,Female,,42.99999990164912,53.730000084838586,,,,,,Debit Card,,,,North,8.999999367422234,,,,2.999998858999189,,33.00000009466854,,,,
66.00000080833738,0.999998817091076,,,SUBS_609,,,15.309999990245398,Female,,9.99999913255894,48.0099988596699,,,,,,Credit Card,,,,East,2.99999976173953,,,,0.9999993162770172,,42.0000008796907,,,,
24.000000380735443,1.0000018454972897,,,SUBS_3273,,,7.629998633500408,Female,,235.00000045361259,53.4799983390664,,,,,,Debit Card,,,,West,7.999998807713066,,,,5.000000185559874,,44.99999954937113,,,,
25.000000232441927,-3.270404035870865e-07,,,SUBS_1148,,,16.070000022628086,Male,,243.0000002775323,61.8100008909959,,,,,,Debit Card,,,,South,10.00000013549836,,,,1.9999993911369491,,35.000000663619154,,,,
63.99999738037689,1.0000013296285046,,,SUBS_4283,,,15.249999211727259,Male,,290.0000004300242,45.00999825531781,,,,,,Credit Card,,,,West,,,,,1.9999994085585517,,55.00000057875658,,,,
62.99999966676314,-6.233354241075101e-07,,,SUBS_3398,,,9.210000734163604,Female,,226.9999995278426,44.10999857431678,,,,,,Credit Card,,,,East,6.000001471624665,,,,-1.564378190040377e-06,,17.000000342771834,,,,
58.99999891999118,5.348401007018516e-07,,,SUBS_2512,,,8.50000117004028,Female,,17.00000079130157,43.51999874035949,,,,,,Debit Card,,,,North,5.999999000469481,,,,1.0000003475238033,,19.99999990370629,,,,
25.999999575120256,6.391485536234946e-07,,,SUBS_1795,,,7.0299997830647,Male,,208.9999997708295,44.570000123642686,,,,,,Credit Card,,,,West,8.999999510093605,,,,2.0000011081557156,,3.0000000276080567,,,,
33.00000000667873,-7.423495286845575e-07,,,SUBS_660,,,6.740000392957992,Female,,291.00000059645464,42.750000902709694,,,,,,Credit Card,,,,West,6.999999893350084,,,,1.9999990123329543,,15.999998894474896,,,,
,1.000002325727258,,,SUBS_2812,,,15.240000760258376,Male,,306.9999991119249,44.9899985714647,,,,,,Debit Card,,,,North,3.999999476107589,,,,1.9999998929023792,,28.000000307781367,,,,
36.00000132338701,6.158197125494461e-07,,,SUBS_1370,,,6.470000042230795,Male,,227.99999998334394,62.88000041779751,,,,,,Credit Card,,,,North,9.99999998502202,,,,1.0000002016604663,,57.00000013568776,,,,
44.000000844320795,3.0571885118991882e-06,,,SUBS_1987,,,18.92999997579868,Female,,47.00000059298379,47.730001646552275,,,,,,PayPal,,,,West,6.999998346594255,,,,6.851335375080125e-07,,6.999999388420118,,,,
,-4.5351983405169197e-07,,,SUBS_147,,,11.269998334869813,Male,,276.9999998605883,58.379998210529635,,,,,,Credit Card,,,,West,10.000002600474364,,,,1.9999997844323942,,37.00000130931232,,,,
52.999999410091604,0.9999992278343408,,,SUBS_3220,,,12.519999702601421,Female,,86.9999995944746,40.200002034764616,,,,,,Debit Card,,,,South,2.0000010806437727,,,,0.9999993882789621,,31.000000606577625,,,,
52.000000748583226,1.0000021029713393,,,SUBS_2912,,,15.110001170536865,Female,,141.00000172827575,28.229999458090884,,,,,,PayPal,,,,North,1.0000001738538002,,,,5.000000388453068,,8.99999934928241,,,,
,0.9999994476968388,,,SUBS_1735,,,18.6299989010488,Female,,125.99999980277629,36.91999825134644,,,,,,Credit Card,,,,East,3.0000016718759315,,,,2.000001641752586,,3.9999989134782017,,,,
42.000000370784065,1.6121463965434904e-07,,,SUBS_1844,,,17.42000165219161,Female,,119.00000100838658,45.399999212144614,,,,,,Debit Card,,,,West,7.000001715026412,,,,2.0000003986092327,,7.999999681477566,,,,
26.000000729047972,0.999999161753417,,,SUBS_489,,,14.850000945116053,Male,,247.99999893318932,41.709999628416135,,,,,,Debit Card,,,,East,0.9999995471144133,,,,2.7177892710240127e-06,,39.999998380859196,,,,
33.99999944905157,1.0000002932103587,,,SUBS_2977,,,7.539999478689684,Male,,314.0000000651979,39.899999074466734,,,,,,Debit Card,,,,South,6.9999990588515795,,,,1.9999992210523487,,8.00000020542354,,,,
19.999998362243634,-1.237850032415449e-06,,,SUBS_1960,,,13.410000177133528,Male,,249.0000010746798,47.4000002642082,,,,,,Credit Card,,,,North,7.999999850888209,,,,-1.895507400423734e-06,,6.0000007423459945,,,,
17.99999787261211,-9.276438790160338e-07,,,SUBS_2386,,,13.089999727727639,Female,,216.9999990557817,40.69999919377552,,,,,,Credit Card,,,,South,5.000001735840389,,,,1.0000008654054247,,7.999999757286705,,,,
63.00000005576126,1.0000008069802908,,,SUBS_2920,,,10.730001473256193,Male,,315.0000004055331,42.56999999168777,,,,,,Credit Card,,,,West,4.000000557387128,,,,0.9999990317510156,,28.000000392996107,,,,
64.00000026121022,0.9999986438484217,,,SUBS_4737,,,5.629999278274108,Male,,346.9999985311757,34.87000052950585,,,,,,Debit Card,,,,East,1.999999125126577,,,,3.0000000536094404,,33.999998962294995,,,,
31.999999503856145,0.9999991913997448,,,SUBS_1803,,,5.769998829408557,Female,,350.0000003518813,40.790000034442855,,,,,,PayPal,,,,South,3.0000000824774493,,,,3.0000004191384977,,46.000000103925444,,,,
63.00000055403572,0.9999988513416017,,,SUBS_4062,,,9.229999568392218,Female,,331.9999981496904,44.49999935155219,,,,,,Credit Card,,,,South,3.99999885120872,,,,3.999997965545536,,45.99999910389567,,,,
59.00000042434262,2.7556047633131254e-07,,,SUBS_3370,,,13.709999846864445,Male,,295.99999904738485,48.91999913921495,,,,,,Credit Card,,,,East,3.999999780064785,,,,2.999999101768081,,54.999998720270014,,,,
36.99999893400662,1.000000155419192,,,SUBS_263,,,12.719999745503651,Male,,337.00000136017917,61.889999589808674,,,,,,PayPal,,,,West,7.99999889588148,,,,1.00000057750553,,52.00000021250683,,,,
40.00000146654792,-1.2445560941385599e-06,,,SUBS_624,,,11.350001434479296,Female,,55.99999966023634,45.039999203904394,,,,,,Debit Card,,,,North,7.999998714423625,,,,1.0000030922429584,,2.999999128115883,,,,
36.99999940283826,7.381943525808068e-07,,,SUBS_1017,,,11.980000183812868,Female,,91.0000001206245,45.52000130447263,,,,,,PayPal,,,,North,7.999998878732927,,,,0.99999908740418,,3.9999990264257,,,,
57.000001100606006,1.0000025709277962,,,SUBS_3644,,,13.490000369430438,Male,,212.9999997903121,31.52999925129606,,,,,,PayPal,,,,West,0.9999997214352411,,,,2.999999078987175,,24.000002266664655,,,,
42.99999998799853,0.9999997913589039,,,SUBS_4977,,,17.48999891633876,Female,,268.99999815184776,40.64000124877796,,,,,,Credit Card,,,,North,,,,,0.9999994698476223,,36.00000177725511,,,,
63.00000009451061,1.0000020595654067,,,SUBS_2050,,,7.22000088476255,Female,,89.00000059172929,40.61000095307029,,,,,,Credit Card,,,,East,1.9999978051428153,,,,4.000000375770525,,58.99999956044088,,,,
40.99999900485095,1.0000001263793004,,,SUBS_3724,,,17.43999830204101,Female,,325.9999997517657,36.32999824606427,,,,,,PayPal,,,,South,1.999999786613849,,,,2.000001121732345,,18.000000195125907,,,,
64.00000025913023,-2.910333674581739e-07,,,SUBS_4549,,,16.279999561075908,Male,,21.99999889332442,54.60999982887313,,,,,,Credit Card,,,,North,8.999999122263134,,,,2.000000794147107,,18.999999381987568,,,,
43.0000008143938,0.9999995967704124,,,SUBS_3109,,,5.210000300454266,Male,,39.00000126874356,46.32000077420789,,,,,,Credit Card,,,,North,,,,,5.000000767059003,,50.0000004146246,,,,
24.000000272251338,1.000000188724677,,,SUBS_4091,,,16.930001145081174,Female,,152.99999972593739,46.0500006898931,,,,,,Credit Card,,,,East,2.999999707090841,,,,2.000002273495035,,41.000000315655775,,,,
50.00000160581507,0.9999996861886957,,,SUBS_2057,,,10.80000231083279,Female,,269.99999994716995,51.20000002340504,,,,,,Debit Card,,,,North,8.999999963300711,,,,6.0000006090181595,,32.00000099959433,,,,
63.99999888939753,-1.4348286228179957e-07,,,SUBS_3171,,,16.410001557263044,Male,,120.99999923982736,48.180000700505005,,,,,,Debit Card,,,,South,3.999999277102408,,,,2.9999992891024,,46.000000139447216,,,,
51.000000389318345,1.0000001234505813,,,SUBS_1683,,,18.569999594637686,Male,,310.00000147886357,48.759999611149084,,,,,,PayPal,,,,North,1.9999991397916905,,,,1.999999769330134,,55.00000111312173,,,,
65.99999981670722,0.9999995944650489,,,SUBS_2256,,,5.980001016340435,Female,,342.00000045240574,48.63000039534555,,,,,,Credit Card,,,,South,10.000000719029542,,,,1.999999705027348,,9.00000015338219,,,,
38.000000626516616,1.000000947511469,,,SUBS_1155,,,14.220000116573097,Male,,47.00000015502966,36.349997995809204,,,,,,Debit Card,,,,South,5.000000094625793,,,,5.000001882763686,,14.00000057881654,,,,
61.99999883100932,1.0000008192353411,,,SUBS_4500,,,15.460001787287377,Male,,219.999998059709,46.91999836165951,,,,,,PayPal,,,,East,8.000001217496548,,,,5.000000426620063,,9.999999520567386,,,,
23.00000008341376,0.9999992231911009,,,SUBS_3192,,,12.490001354090138,Female,,342.000000603147,47.49999984868417,,,,,,Debit Card,,,,South,3.000001666979696,,,,2.0000001334800204,,55.000000434004406,,,,
60.99999906676227,0.9999990752846397,,,SUBS_1697,,,11.489999259011965,Female,,326.0000017968592,42.85999974741284,,,,,,Debit Card,,,,North,4.000001554798644,,,,-4.910165962603115e-07,,30.00000059984612,,,,
53.00000142313722,0.9999985838001545,,,SUBS_3992,,,16.049999320539325,Female,,351.00000066224345,48.66000070102316,,,,,,Debit Card,,,,East,5.9999997160958705,,,,2.0000010105436554,,24.999999680723693,,,,
58.000000180091234,-1.1011836908964805e-06,,,SUBS_4724,,,18.49000090658793,Male,,86.99999897446995,53.75999944037683,,,,,,PayPal,,,,South,,,,,2.000001655927447,,58.99999969274902,,,,
64.00000113514271,-8.539481232553699e-07,,,SUBS_4683,,,12.119999537805667,Male,,179.99999986633546,49.15999966910065,,,,,,Credit Card,,,,East,7.000000510348954,,,,1.0000008126239104,,24.999999966982706,,,,
59.000000720055745,7.846991687909313e-08,,,SUBS_1649,,,19.289998203264968,Female,,259.999998798302,50.57000073161254,,,,,,PayPal,,,,North,4.999999012553023,,,,4.00000001288332,,46.99999848179288,,,,
18.999998959532288,0.9999990509435174,,,SUBS_1446,,,6.540000182079207,Male,,120.99999792467676,38.629999404057266,,,,,,Credit Card,,,,West,3.000000412691511,,,,1.000001420883173,,31.000000708594058,,,,
58.00000104842163,0.9999994507675022,,,SUBS_4200,,,6.940000677605201,Male,,356.00000039062405,51.44000003188566,,,,,,Debit Card,,,,South,6.000002009981162,,,,3.0000008950411914,,56.99999896545161,,,,
52.00000165831655,-3.669173827584832e-07,,,SUBS_3924,,,18.740000973523944,Female,,240.99999980762817,61.15999922689054,,,,,,Credit Card,,,,South,6.999998826751371,,,,1.0000018111762545,,53.0000003529491,,,,
28.00000052472461,-4.5428991290083915e-07,,,SUBS_254,,,17.730000820970666,Male,,12.000000292242866,60.33000091923572,,,,,,Debit Card,,,,North,9.000000776099125,,,,2.0000002354526694,,42.99999957309987,,,,
26.999999045347256,0.9999998610925338,,,SUBS_3184,,,17.199997671954062,Male,,135.99999988310338,43.789999336712484,,,,,,Credit Card,,,,South,0.999999526962827,,,,0.999998767621953,,50.000001371054786,,,,
51.99999900302651,1.5873861915191205e-06,,,SUBS_2558,,,11.240001765944378,Female,,156.99999875543187,60.32000072072464,,,,,,PayPal,,,,South,9.000000218995192,,,,3.999998980832432,,51.999999101806736,,,,
46.00000011060969,0.9999991195731708,,,SUBS_99,,,9.859999093446659,Female,,45.00000045015306,46.81000082824206,,,,,,PayPal,,,,South,1.9999996086890186,,,,1.0000002045115917,,56.99999994199423,,,,
19.00000018401255,0.9999997276193535,,,SUBS_2201,,,18.779998559313118,Female,,202.99999976646365,41.540000130882525,,,,,,PayPal,,,,South,1.000000474157154,,,,0.9999999363661664,,37.99999830198567,,,,
,1.526653659345331e-07,,,SUBS_2962,,,8.490000121883932,Male,,78.99999995255064,55.76000043713688,,,,,,Debit Card,,,,North,10.000000396655041,,,,2.999998358274919,,34.9999993074364,,,,
21.000000829428206,1.0000009343882297,,,SUBS_4974,,,5.749999120794517,Male,,76.9999996293566,23.760001766624033,,,,,,Credit Card,,,,West,2.0000019554745085,,,,3.999999159032878,,10.000001162859652,,,,
57.999999949002905,1.0000012022879237,,,SUBS_4434,,,11.080000233348365,Male,,127.00000064830205,39.0600003879927,,,,,,PayPal,,,,West,2.9999999577900476,,,,0.999998192781171,,29.000001117067825,,,,
34.99999883231643,0.9999993528901099,,,SUBS_3778,,,13.910000045255376,Female,,28.000002040677657,32.62000120005163,,,,,,PayPal,,,,North,2.999998690845298,,,,1.999999679962848,,3.0000004158312326,,,,
65.99999887497137,1.04915961957879e-08,,,SUBS_2870,,,19.660001006326247,Male,,195.99999918876796,52.39999774694468,,,,,,PayPal,,,,South,5.000000189633642,,,,1.0000007168425515,,35.00000100293815,,,,
47.000001146004195,4.408823847903053e-07,,,SUBS_3235,,,8.84000188533588,Female,,84.00000030011641,55.209997890947186,,,,,,PayPal,,,,North,7.000000300670723,,,,0.9999998863539121,,51.99999987026126,,,,
19.000001405450632,1.7856936233990459e-07,,,SUBS_3792,,,18.72000153972801,Female,,263.9999981218854,39.37000078680238,,,,,,Credit Card,,,,West,3.999998853231109,,,,2.9999997156766303,,12.999999648884115,,,,
31.000000012701204,2.55503943073542e-06,,,SUBS_957,,,14.51000022406388,Male,,270.9999998765469,52.539999078293015,,,,,,Credit Card,,,,East,6.999999667419727,,,,1.9573828041979334e-06,,29.00000188817403,,,,
46.00000065974279,0.9999984563306473,,,SUBS_4068,,,14.559998340833335,Female,,171.0000005361101,35.709999211950354,,,,,,PayPal,,,,South,1.9999994610771477,,,,2.00000038534257,,21.00000033859007,,,,
68.99999902643047,1.000000522660609,,,SUBS_161,,,10.300001783406536,Male,,310.9999993145245,58.920000844896194,,,,,,Debit Card,,,,West,10.00000056989034,,,,-1.2526744810606935e-06,,30.000000553578516,,,,
20.000000516017288,-3.3397417449357713e-07,,,SUBS_4494,,,16.660000176759702,Male,,132.00000057820495,56.680000598425366,,,,,,PayPal,,,,East,8.000000041757946,,,,2.9999997113265455,,41.99999827089825,,,,
57.000001572463745,0.9999986358771845,,,SUBS_1301,,,11.490001417826768,Male,,316.99999921297155,48.07000018124395,,,,,,Credit Card,,,,South,,,,,0.9999993557152396,,4.999999525469138,,,,
26.999999927888876,1.0000011247711165,,,SUBS_4912,,,17.90999985503842,Male,,307.0000011706455,52.09000119479557,,,,,,Credit Card,,,,North,5.000003160308483,,,,2.0000024926922984,,39.99999945543996,,,,
44.999999326687316,1.0000002247327258,,,SUBS_3988,,,13.380001664112742,Female,,12.999999924026266,36.20999989130219,,,,,,Debit Card,,,,East,,,,,2.999999685662476,,32.00000105673111,,,,
42.999999141428916,0.9999986162319368,,,SUBS_1528,,,11.120000258221904,Male,,339.00000029778454,40.5599998550847,,,,,,Credit Card,,,,East,4.000000548019746,,,,3.0000016079190086,,28.99999929117515,,,,
50.00000203122336,-1.592575797004048e-06,,,SUBS_1219,,,18.420000513581503,Male,,256.00000184760944,46.13999902065187,,,,,,Debit Card,,,,East,6.000000501535333,,,,3.9999991964777277,,19.000000213612932,,,,
46.0000007723559,-8.536965921064296e-08,,,SUBS_4497,,,11.10999832681898,Male,,264.9999997209814,41.649999453833374,,,,,,PayPal,,,,East,6.999999125601735,,,,1.0000002476319683,,2.9999995487566395,,,,
64.99999975317192,4.015193897537867e-07,,,SUBS_4736,,,11.249999949960486,Female,,238.99999844998334,37.89999992001323,,,,,,PayPal,,,,East,5.0000019056178955,,,,1.9999987254889406,,10.000000101849471,,,,
37.00000128400194,0.9999990204550762,,,SUBS_3105,,,14.900000241781049,Male,,322.9999994991216,52.239999427404896,,,,,,Debit Card,,,,North,8.999999371105392,,,,3.999998590667119,,21.999998814044808,,,,
17.999998438322176,0.9999994311639567,,,SUBS_2736,,,15.850000971173484,Female,,6.99999972690308,37.67000043119636,,,,,,Credit Card,,,,South,2.0000009212684158,,,,1.999999246195928,,19.00000002911655,,,,
41.000000434366456,1.5564720557375912e-06,,,SUBS_4556,,,14.82999941853067,Male,,190.9999997929779,43.709999827007245,,,,,,PayPal,,,,West,8.999999523435832,,,,4.000000388746319,,1.0000000033050398,,,,
51.000001271712605,8.114204179386812e-08,,,SUBS_955,,,11.709998861901827,Female,,114.0000014214995,54.26999972863511,,,,,,Debit Card,,,,North,,,,,2.000000177398273,,59.00000090584356,,,,
53.999999415366645,0.9999989983883134,,,SUBS_4566,,,11.930000038302211,Female,,246.00000010644388,36.240000821223674,,,,,,Credit Card,,,,East,2.9999986266372267,,,,1.999998388968279,,23.00000151395342,,,,
,-3.410672162906476e-07,,,SUBS_3447,,,7.000000347094687,Male,,200.0000000908105,60.65000114369458,,,,,,PayPal,,,,South,9.000000317213171,,,,2.0000004278236903,,58.00000058184786,,,,
50.000001703984815,1.8625853182113096e-07,,,SUBS_1046,,,6.030000485105204,Female,,242.99999907218412,36.07999942874408,,,,,,PayPal,,,,West,6.999999222542229,,,,2.9999998536867656,,2.999998227170866,,,,
45.99999879051172,-1.3322627999747346e-06,,,SUBS_1694,,,13.850000575312455,Female,,131.00000004160427,64.12000075152935,,,,,,PayPal,,,,West,9.999999735760788,,,,1.0000001040560476,,42.00000052237153,,,,
62.000001032365255,0.9999977643933495,,,SUBS_3437,,,18.199999744069142,Male,,273.99999759002696,42.58000162762851,,,,,,PayPal,,,,South,0.9999994266446294,,,,0.9999996109071566,,41.000000108743244,,,,
67.99999988897044,-5.924099724410142e-07,,,SUBS_563,,,13.899999194562712,Female,,217.000001576703,46.44999996973563,,,,,,Debit Card,,,,North,4.000000895438936,,,,2.0000008181322277,,41.00000092838717,,,,
30.00000052197635,0.9999986314675503,,,SUBS_2486,,,6.759998439185037,Male,,359.0000000721314,49.65000156788185,,,,,,Debit Card,,,,West,7.000001213474028,,,,5.000000228872446,,47.99999930703561,,,,
,2.0257221177139036e-07,,,SUBS_3355,,,13.720000181740739,Male,,55.00000005995831,52.050000245132395,,,,,,PayPal,,,,East,4.000000052597463,,,,1.0000008914068585,,53.999999479398205,,,,
65.99999915391233,0.9999997448844504,,,SUBS_226,,,6.059999684902681,Male,,308.99999885987705,38.4100009624633,,,,,,Debit Card,,,,North,5.999998015949593,,,,1.9999981525609718,,7.000001053033716,,,,
30.000000021656927,1.7368644293084485e-08,,,SUBS_4894,,,17.78999789863707,Female,,259.000000325141,44.20000047924015,,,,,,Credit Card,,,,West,5.999998426393871,,,,0.9999998586207323,,5.0000008244939576,,,,
44.000001052809644,1.6989034779713977e-06,,,SUBS_960,,,12.26999998777615,Male,,221.99999992844894,53.7899984552126,,,,,,PayPal,,,,East,8.999999612757893,,,,1.0000012236585083,,16.999999354366352,,,,
64.00000006571942,1.0331483414040858e-06,,,SUBS_4549,,,16.279999970338558,Male,,21.999999174479647,54.60999952288766,,,,,,Credit Card,,,,North,9.00000017245454,,,,1.999999320355418,,18.999999505602375,,,,
49.00000170812402,2.661954343923866e-07,,,SUBS_3068,,,6.940000757259745,Female,,22.000000055353247,51.719999874403754,,,,,,PayPal,,,,West,,,,,3.000001311615804,,30.00000031363948,,,,
38.99999894035313,-1.139614563331452e-06,,,SUBS_816,,,6.460000233904359,Male,,195.99999961747864,54.64000003311207,,,,,,Credit Card,,,,East,8.000000893483797,,,,2.999999841008053,,44.00000054434227,,,,
48.99999932517417,-5.775458302913694e-07,,,SUBS_4755,,,8.33000024659921,Female,,60.00000066359493,59.129999093446784,,,,,,Credit Card,,,,South,9.00000010426078,,,,3.0000003421579895,,54.00000098189215,,,,
37.99999870494435,-1.0969834261628623e-06,,,SUBS_4643,,,16.990001001240625,Female,,17.000000634946677,55.21000131593581,,,,,,Credit Card,,,,South,7.00000139560873,,,,1.9999990659096865,,42.99999980625807,,,,
37.00000070170591,1.0000025322051493,,,SUBS_3121,,,5.569999171162341,Male,,284.0000011809199,40.07000087970935,,,,,,Debit Card,,,,South,5.000002237836389,,,,5.999998474302668,,48.00000069677974,,,,
20.000000967191504,0.9999982217416119,,,SUBS_17,,,5.370000097392866,Female,,324.9999998624733,54.759999618619545,,,,,,PayPal,,,,South,7.999999300770806,,,,1.0000014309149454,,44.000000382890306,,,,
43.000000882664025,-3.1531911289866813e-07,,,SUBS_1244,,,16.199999082760595,Female,,218.00000064513944,54.610002337989165,,,,,,Credit Card,,,,North,9.000000372121947,,,,4.5722414652579254e-07,,18.999998368215927,,,,
,4.898348894797798e-07,,,SUBS_2206,,,17.73000036096384,Male,,287.99999960619766,44.82000264384405,,,,,,Debit Card,,,,East,6.999997358538778,,,,3.9999996740107298,,9.999999710486073,,,,
56.000000223844424,-6.585458655135601e-07,,,SUBS_2525,,,6.190002041203417,Female,,68.00000040480738,40.990000296654856,,,,,,Debit Card,,,,West,,,,,4.00000086456487,,17.000000281263787,,,,
45.000001528931676,2.457114828008911e-07,,,SUBS_1070,,,8.809999068059382,Female,,11.000000713102304,41.230000102151386,,,,,,PayPal,,,,North,8.00000132821631,,,,3.0000008956152775,,3.9999990806247334,,,,
48.00000174826515,-7.109111926429005e-07,,,SUBS_3445,,,10.870000292479988,Female,,30.000001302329537,48.149998797023706,,,,,,Debit Card,,,,East,,,,,9.772949233629452e-07,,25.999999653135554,,,,
66.00000049582115,0.9999986692394284,,,SUBS_2566,,,12.569999067089848,Female,,324.99999932739496,55.87999775979068,,,,,,PayPal,,,,West,,,,,0.9999987025392397,,43.99999921498788,,,,
47.99999908981495,1.0000005965281737,,,SUBS_1061,,,5.190000785938092,Male,,113.99999948538827,32.84999911715525,,,,,,PayPal,,,,East,2.0000002264570926,,,,0.9999991730676584,,21.999999792880324,,,,
42.99999916157478,8.968756914190248e-07,,,SUBS_2328,,,14.989999119346196,Male,,271.9999976492004,58.740000715592785,,,,,,Credit Card,,,,West,,,,,0.9999997875906416,,33.99999919526951,,,,
49.000000653791844,-1.4589367475938287e-06,,,SUBS_3421,,,9.709999734054302,Female,,244.00000185696751,49.0299988853187,,,,,,PayPal,,,,South,7.000000834408724,,,,2.9999994232391964,,33.000002101684814,,,,
25.999998170297285,0.9999997250792653,,,SUBS_302,,,12.709998452815364,Male,,336.0000002382659,42.74999978610445,,,,,,PayPal,,,,South,,,,,2.9999982330140083,,47.000001487516265,,,,
53.99999908013917,0.9999991816290803,,,SUBS_4277,,,19.780001451753662,Male,,344.99999895001633,34.929999379745816,,,,,,PayPal,,,,West,4.000000540071493,,,,3.000001715010745,,1.000001049249759,,,,
40.99999839491025,-1.6863220430154457e-06,,,SUBS_607,,,15.160000621053754,Male,,190.00000064112393,47.33999836131202,,,,,,Credit Card,,,,West,4.000000483239398,,,,0.9999982380209032,,38.00000072298193,,,,
64.00000077484319,6.05881232707253e-09,,,SUBS_3171,,,16.409998804257693,Male,,121.00000122978948,48.179998301977825,,,,,,Debit Card,,,,South,3.9999993285438498,,,,2.9999994158977152,,45.99999997855114,,,,
69.0000013119147,1.0000006395580527,,,SUBS_700,,,17.910000543533673,Female,,313.00000120254526,44.86999951711093,,,,,,Credit Card,,,,West,4.999998843443431,,,,4.999998765160825,,27.999997773874497,,,,
51.00000101519035,7.49640655752469e-08,,,SUBS_1140,,,15.229999843073408,Female,,193.99999962532888,59.410000061973776,,,,,,Debit Card,,,,East,9.000001039646103,,,,2.0000004244567333,,40.000000526897004,,,,
41.99999886565772,1.948300988108182e-06,,,SUBS_191,,,15.42999971656298,Male,,34.99999925929902,61.51999998780157,,,,,,Credit Card,,,,South,7.999999281630742,,,,2.99999826738552,,56.999999056096094,,,,
,1.0000004282341879,,,SUBS_2301,,,8.69999947937554,Male,,213.99999843288163,45.9299989196161,,,,,,PayPal,,,,North,3.0000010345422115,,,,1.000001517279384,,53.000000392985484,,,,
42.99999965405342,-1.0899141299408612e-06,,,SUBS_981,,,14.720000872606715,Male,,257.0000010111464,49.48999917054654,,,,,,Debit Card,,,,South,,,,,1.9999997621430665,,8.000000515680968,,,,
32.000000275722485,1.000000752022262,,,SUBS_2976,,,6.820000384521607,Female,,143.9999990830567,35.07999819664399,,,,,,Debit Card,,,,North,1.9999990232461629,,,,-7.655249354140559e-07,,14.999998941842632,,,,
56.99999840330239,1.0000000568570486,,,SUBS_1185,,,9.699997867076336,Female,,220.99999801572636,32.68000058469155,,,,,,Credit Card,,,,East,1.000000882580151,,,,2.000000906052885,,27.999999653167045,,,,
64.99999857812008,1.0000005467280582,,,SUBS_3328,,,8.080000488288782,Female,,200.00000002737153,30.12000052292804,,,,,,Debit Card,,,,South,1.9999993165952232,,,,3.0000002977097013,,16.000001111274653,,,,
64.00000007428778,7.133240361484281e-07,,,SUBS_3395,,,16.160000004394284,Male,,170.0000019874325,66.41000007552705,,,,,,PayPal,,,,South,9.999998417168575,,,,3.999999433231662,,53.00000003378299,,,,
,0.9999989268002989,,,SUBS_128,,,13.47000090739489,Female,,24.000001422482256,38.22999807798683,,,,,,Debit Card,,,,East,2.000000031555709,,,,2.0000001500341775,,23.00000086473652,,,,
57.99999802786921,-3.734548136799109e-07,,,SUBS_2066,,,8.49000041029337,Female,,56.00000126983679,47.269999599085374,,,,,,Debit Card,,,,South,4.000000028471276,,,,0.9999991324277742,,41.99999994636639,,,,
33.9999999822322,1.000001231383554,,,SUBS_1817,,,18.78000109233717,Male,,277.000001366533,44.75000020665511,,,,,,PayPal,,,,West,2.000000299566941,,,,1.000000505274436,,36.0000010593774,,,,
56.999997901679784,0.9999999737362028,,,SUBS_570,,,7.400000074413974,Female,,63.99999879422234,43.8300001603034,,,,,,PayPal,,,,West,2.000001294542027,,,,1.0000003497137582,,58.00000047690838,,,,
47.00000174647549,1.0000002892504096,,,SUBS_1896,,,6.2400002226782645,Male,,204.00000046299243,36.62000120061082,,,,,,Credit Card,,,,North,2.0000001645461847,,,,1.9999995027227206,,36.00000011483246,,,,
47.99999953524925,-1.6994098544289967e-06,,,SUBS_2734,,,18.380002564921195,Male,,11.00000095459295,52.76999883231154,,,,,,Debit Card,,,,East,3.999997892360899,,,,4.000000771685915,,54.99999916127343,,,,
51.00000080637957,7.987965840997307e-07,,,SUBS_3864,,,5.780000315471354,Male,,151.0000013726216,60.18000105493306,,,,,,Credit Card,,,,West,9.999999929328874,,,,1.000000116892864,,40.000003540168514,,,,
53.00000063029651,1.0000004015666102,,,SUBS_4722,,,5.650001405624886,Female,,347.999998485019,56.29999906752766,,,,,,Debit Card,,,,South,7.9999993667172165,,,,0.9999995132032913,,46.999999408569224,,,,
65.00000104833042,9.933417846051441e-08,,,SUBS_4015,,,9.689999897221997,Male,,15.999999063800738,42.349999995146966,,,,,,Debit Card,,,,North,5.000000597179719,,,,1.4062121025287712e-06,,15.999999461918613,,,,
